date,numkey,value,key,title,exampleURL,leadpp,topicwords
1792,0,0.0,Criminal Activity - nonviolent,"ORNELAS et al. v. UNITED STATES, (1996)",http://caselaw.findlaw.com/us-supreme-court/517/690.html,"In denying petitioners' motion to suppress cocaine found in their car, the District Court ruled that the police had reasonable suspicion to stop and question petitioners, and probable cause to remove one of the interior panels where a package containing the cocaine was found... ","""error, defendant, sup, deliver, judgment, statute, mckenna, bring, record, messrs, prosecute, assignment, recover, 
favor, render, pass, verdict, proceeding, demurrer, cost, exception, try, sustain, assign, appearance, overrule, allow, 
purpose, assess, make, come, involve, result, raise, memorandum, contrary, validity, contention, mandamus, approve"", "
1792,21,1.0,Civil Rights - search and seizure,"MAPP v. OHIO, (1961)",http://caselaw.findlaw.com/us-supreme-court/367/643.html,"On May 23, 1957, three Cleveland police officers arrived at appellant's residence in that city pursuant to information that ""a person [was] hiding out in the home, who was wanted for questioning in connection with a recent bombing, and that there was a large amount of policy paraphernalia being hidden in the home.""","person, obscene, engage, make, convict, unlawful, agent, firm, arrest, provide, knowingly, misdemeanor, follow, 
distribute, violation, intent, offense, define, know, individual, liable, violate, furnish, injure, mean, possess, damage, 
pertinent, employ, resident, information, activity, obscenity, oath, obtain, purpose, commit, conspire, possession, reside"
1792,7,0.0,Violent Crimes & Death Penalty,"BUMPER v. NORTH CAROLINA, (1968)",http://caselaw.findlaw.com/us-supreme-court/391/543.html,"Petitioner was tried for rape in North Carolina, an offense punishable by death unless the jury recommends life imprisonmentÉ","death, penalty, sentence, circumstance, punishment, eighth, cruel, unusual, adhere, fourteenth, impose, prohibit, edd, 
vacate, sentencing, murder, execution, aggravating, decedent, phase, believe, undisturbed, insofar, constitutionally, denial, 
consider, mitigate, mitigating, firstdegree, continue, forbid, negligence, kill, wrongful, instruct, eleventh, widow, determine, 
aggravate, verdict"
1792,17,0.0,Crimes - mail,"SINGER v. UNITED STATES, (1965)",http://caselaw.findlaw.com/us-supreme-court/380/24.html,"Petitioner, a defendant in a federal criminal mail fraud case, claims that he had an absolute right to be tried by a judge alone if he considered such a trial to be to his advantageÉ","solicitor, curia, urge, amici, equally, divide, affirmance, consideration, reversal, supp, improvidently, curiae, 
record, argument, appointment, confession, suggestion, probable, fortas, examination, 
judgment, ninth, zimmet, reargued, publisher, maysack, memorandum"
1792,29,0.0,Torts - a civil wrong that caused a loss,"UNITED STATES v. ATLAS INS. CO., (1965)",http://caselaw.findlaw.com/us-supreme-court/381/233.html,"The Life Insurance Company Income Tax Act of 1959 provides for the division of an insurance company's investment income into two parts, the policyholders' share (to be added to reserves for payment of future claims), and the company's share, with a pro rata allocation of each item of income to each share including tax-exempt interest...","claim, claimant, suit, owner, assert, cl, possession, finding, allege, entitle, war, reject, tort, recover, arise, 
allow, bring, refund, base, infringement, damage, adverse, location, treaty, deliver, infringe, valid, know, limitation, 
approve, award, relief, settlement, make, invention, acre, determine, adjudicate, render, mineral"
1792,12,0.0,Monopolies,"UNITED STATES v. UNITED SHOE CORP., (1968)",http://caselaw.findlaw.com/us-supreme-court/391/244.html,In 1953 the District Court for the District of Massachusetts held that appellee had monopolized the manufacture of shoe machinery in violation of 2 of the Sherman ActÉ,"report, app, consideration, exception, improvidently, appellant, supplemental, appoint, confirm, refer, recommendation, 
adjudge, map, locate, hear, recommend, hearing, witness, follow, div, induction, overrule, approve, adopt, heretofore, monopoly, 
come, referee, return, brind, receive, copy, appropriate, deem, portion, honorable, objection, ascertain, evidence, information"
1792,10,0.0,Workers Unions,"LABOR BOARD v. BROWN, (1965)",http://caselaw.findlaw.com/us-supreme-court/380/278.html,Respondents were members of a multiemployer bargaining group with a history of successful bargainingÉ,"employee, employer, relation, agreement, bargaining, worker, practice, unfair, discharge, collective, wage, injury, 
strike, collectivebargaining, engage, employ, arbitration, bargain, negligence, represent, require, seq, activity, hour, 
provide, pay, refuse, dispute, injure, charge, operate, contractor, discrimination, meaning, amend, award, result, damage, 
cover, violation"
1792,23,0.0,Free Speech,"MEMOIRS v. MASSACHUSETTS, (1966)",http://caselaw.findlaw.com/us-supreme-court/383/413.html,"Appellee, the Attorney General of Massachusetts, brought this civil equity action for an adjudication of obscenity of Cleland's Memoirs of a Woman of Pleasure (Fanny Hill), and appellant publisher intervenedÉ","judgment, reverse, enter, verdict, favor, render, reason, recover, set, remand, final, result, proceeding, 
bring, appellate, record, summary, finding, cost, memoir, forth, obtain, solicitor, argument, try, evidence, separate, 
execution, conclusion, sustain, recovery, rest, issue, employer, award, respect"
1792,6,0.0,"Jurisdiction - states, immigration, reservations","DURFEE v. DUKE, (1963)",http://caselaw.findlaw.com/us-supreme-court/375/106.html,"Petitioners sued respondent in a Nebraska State Court to quiet title to certain land on the Missouri River, which is the boundary between Nebraska and MissouriÉ","jurisdiction, want, probable, argument, sup, diversity, citizenship, exclusive, original, appellate, suit, invoke, 
admiralty, jurisdictional, set, controversy, exercise, reservation, confer, arise, app, certify, merit, entertain, complaint, 
libel, dispense, hear, certificate, final, resident, subjectmatter, commit, properly, dispute, base, remove, fortas, determine, 
solicitor"
1792,28,0.0,Tenants Rights - business and individual,"MILLINERY CORP. v. COMMISSIONER, (1956)",http://caselaw.findlaw.com/us-supreme-court/350/456.html,"In April 1924, petitioner leased land in New York City for 21 years, with an option to renew the lease for two further 21-year periodsÉ","lease, lessee, lessor, mineral, premise, year, operate, agreement, owner, acre, covenant, acquire, tenant, reservation, 
operation, option, possession, occupy, execute, leasehold, contain, provide, purpose, terminate, osage, erect, agree, purchase, 
cancellation, termination, subject, include, authorize, convey, allot, derive, assignment, ownership, ninetynine, allotment"
1792,16,0.0,Civil Rights - discrimination,"LOUISIANA v. UNITED STATES, (1965)",http://caselaw.findlaw.com/us-supreme-court/380/145.html,"Pursuant to 42 U.S.C. 1971 (c) the Attorney General brought this action against appellants, the State of Louisiana, the three members of the State Registration Board, and the Board's Director-Secretary, charging a long-standing plan to deprive Louisiana Negroes of voting rights in violation of 1971 (a) and the Fourteenth and Fifteenth Amendments.","statute, suit, clause, require, violate, regulation, issue, bring, apply, injunction, relief, fourteenth, violation, 
challenge, authorize, enjoin, permit, provide, proceeding, make, complaint, prohibit, operate, pursuant, hearing, 
unconstitutional, purpose, amend, requirement, validity, declaratory, allege, impose, restrain, refuse, establish, include, 
statutory, effect, charge, constitutionality"
1792,13,0.0,Domestic & Trust Issues,"STANLEY v. ILLINOIS, (1972)",http://caselaw.findlaw.com/us-supreme-court/405/645.html,"Petitioner, an unwed father whose children, on the mother's death, were declared state wards and placed in guardianship, attacked the Illinois statutory scheme as violative of equal protectionÉ","child, wife, parent, husband, father, widow, dependent, program, heir, illegitimate, daughter, death, divorce, deceased, 
decedent, age, resident, survive, custody, intestate, reside, probate, deed, marriage, executor, legitimate, sister, provide, 
brother, receive, woman, decease, married, year, paternity, clause, allotment, birth, inherit, devise"
1792,14,0.0,Bankruptcy,"PHELPS v. UNITED STATES, (1975)",http://caselaw.findlaw.com/us-supreme-court/421/330.html,"After the Internal Revenue Service (IRS) had made federal tax assessments against a company and the company failed to pay the taxes after formal demand, the company transferred its assets to an assignee for the benefit of creditors, who converted the assets into cash...","bankruptcy, bankrupt, creditor, debtor, proceeding, receiver, referee, debt, lien, asset, appoint, adjudge, insolvent, 
adjudicate, discharge, firm, preference, involuntary, adjudication, payment, account, priority, month, filing, possession, 
voluntary, deliver, secure, sub, assignment, duly, foreclosure, proceeds, unsecured, prior, proceed, money, execute, default, 
date"
